date	corpus_commit	rakupp_commit	eligible	match	diff_out	diff_exit	diff_both	timeout	regressions
2026-08-22	4bede39696ec864da04073a5fcbb1638968055f2	adc9230d152eac1de98c80e5665f4ef2ace20ad2	1812	1608	142	14	48	0	0
2026-08-24	4bede39696ec864da04073a5fcbb1638968055f2	7d6914e62b5aa6a9642857ab5a31fe4c720d89f3	1812	1608	141	15	48	0	2
2026-08-31	f3727e1afa010c2b7f659b4461aac13bd6e83e71	9bd8b08ab41eb6244c17cb9f20fb0c1d675f1120	1813	1634	122	15	42	0	1
2026-09-07	f3727e1afa010c2b7f659b4461aac13bd6e83e71	1c559dd0cf98a83bf9a9b53c84796dadbef0588a	1813	1636	120	15	42	0	3
