name	version	released	verdict	detail	seconds	exit	first-error
Algorithm::LibSVM	0.0.20	2026-08-30	dep-fail	JSON::Fast	5.6	1	FAILED: 07-datetime.t | Don't know how to jsonify DateTime
Algorithm::LibSVM	0.0.19	2026-08-30	dep-fail	JSON::Fast	5.1	1	FAILED: 07-datetime.t | Don't know how to jsonify DateTime
Color::Palette	0.0.2	2026-08-30	self-fail		0.9	1	FAILED: 02-gpl.rakutest | # Failed test 'got palette' at /tmp/rakupp-install-43886-Color--Palette/dist/t/02-gpl.rakutest line 19
Proc::Editor	0.0.2	2026-08-30	pass		0.4	0	
Term::ReadKey	0.0.1	2026-08-30	dep-fail	JSON::Fast	4.7	1	FAILED: 07-datetime.t | Don't know how to jsonify DateTime
Text::Wrap	0.0.5	2026-08-30	pass		0.4	0	
WebDriver2	0.0.14	2026-08-30	dep-fail	JSON::Fast	5	1	FAILED: 07-datetime.t | Don't know how to jsonify DateTime
BDD::Behave	0.9.5	2026-08-29	dep-fail	JSON::Unmarshal	1.3	1	FAILED: 010-basic.rakutest | Could not find JSON::Name in:
Graph	0.1.3	2026-08-29	self-fail		1.1	1	FAILED: 01-basic-usage.rakutest | Type check failed on attribute '$!center'; expected Str:D but got Whatever
LeftistHeap	0.0.2	2026-08-29	pass		0.4	0	
LeftistHeap	0.0.1	2026-08-29	pass		0.4	0	
NotoFonts-OT	0.3.0	2026-08-29	dep-fail	File::Temp	3.3	1	FAILED: 01-basic.rakutest | Could not find File::Directory::Tree in:
RealDentalCosts::API	0.1.0	2026-08-29	dep-fail	JSON::Fast	4.1	1	FAILED: 07-datetime.t | Don't know how to jsonify DateTime
Grammar::BNF	1.2	2026-08-27	self-fail		0.4	1	FAILED: 01-parse.rakutest | nextwith is not in the dynamic scope of a dispatcher
Grammar::PrettyErrors	0.0.7	2026-08-27	self-fail		0.8	1	FAILED: 01-has-ws.rakutest | callsame is not in the dynamic scope of a dispatcher
LLM::Graph	0.0.12	2026-08-27	dep-fail	JSON::Unmarshal	3.1	1	FAILED: 010-basic.rakutest | Could not find JSON::Name in:
Mathematica::Serializer	0.2.0	2026-08-27	self-fail		0.6	1	FAILED: 01-basic-usage.rakutest | # Failed test at /tmp/rakupp-install-44188-Mathematica--Serializer/dist/t/01-basic-usage.rakutest line 15
Node::Ethereum::KZG	0.0.33	2026-08-26	dep-fail	JSON::Unmarshal	3.5	1	FAILED: 010-basic.rakutest | Could not find JSON::Name in:
Notcurses::Native	0.6.6	2026-08-26	self-fail		3.2	1	FAILED: 18-full-library-load.rakutest |
Terminal::MultiProgress	0.0.4	2026-08-26	dep-fail	Log::Async	1.5	1	FAILED: 01-basic.rakutest | # Failed test 'Use Log::Async' at /tmp/rakupp-install-44261-Log--Async/Log-Async-0.0.17/t/01-basic.rakutest line 6
WebDriver2	0.0.13	2026-08-26	dep-fail	JSON::Fast	5.1	1	FAILED: 07-datetime.t | Don't know how to jsonify DateTime
WebDriver2	0.0.12	2026-08-26	dep-fail	JSON::Fast	5.1	1	FAILED: 07-datetime.t | Don't know how to jsonify DateTime
App::Rakus	0.0.1	2026-08-25	pass		2.5	0	
Slang::Mosdef	0.0.4	2026-08-25	dep-fail	Slangify	0.5	1	FAILED: 01-basic.rakutest | Useless use of constant string ?"Successfully slanged" in sink context (line 11)
Slangify	0.0.5	2026-08-25	self-fail		0.4	1	FAILED: 01-basic.rakutest | Useless use of constant string ?"Successfully slanged" in sink context (line 11)
JSON::Native	0.0.1	2026-08-24	dep-fail	JSON::Fast	4.3	1	FAILED: 07-datetime.t | Don't know how to jsonify DateTime
P5-X	0.0.11	2026-08-24	self-fail		0.4	1	FAILED: 01-basic.rakutest | ===SORRY!=== Parse error at line 22: expected ) (got '$file')
P5built-ins	0.0.31	2026-08-24	dep-fail	P5times	1.5	1	FAILED: 01-basic.t | Undefined routine 'nqp::getrusage'
P5opendir	0.0.10	2026-08-24	pass		0.5	0	
P5print	0.0.8	2026-08-24	self-fail		0.4	1	FAILED: 01-basic.rakutest | # Failed test 'STDIN imported?' at /tmp/rakupp-install-44465-P5print/P5print-0.0.8/t/01-basic.rakutest line 10
P5push	0.0.9	2026-08-24	pass		0.4	0	
P5ref	0.0.9	2026-08-24	self-fail		0.4	1	FAILED: 01-basic.rakutest | ===SORRY!=== Parse error at line 26: unexpected operator in term position (got '/')
P5reverse	0.0.10	2026-08-24	pass		0.4	0	
P5shift	0.0.9	2026-08-24	pass		0.3	0	
P5study	0.0.7	2026-08-24	pass		0.4	0	
