name	version	released	verdict	detail	seconds	exit	first-error
Math::NumberTheory	0.1.3	2026-08-23	self-fail		1	1	FAILED: 01-integer-factors.rakutest | # Failed test at /tmp/rakupp-install-43316-Math--NumberTheory/dist/t/01-integer-factors.rakutest line 14
P5chr	0.0.10	2026-08-23	self-fail		0.5	1	FAILED: 02-chr.rakutest | Default constructor for 'InvalidChr' only takes named arguments
P5defined	0.0.8	2026-08-23	self-fail		1	1	FAILED: 01-basic.rakutest | ===SORRY!=== Parse error at line 17: Unsupported use of undef as a value; in Raku please use something more specific: an undefined type object such as Any, or Nil as the absence of a value
P5fc	0.0.10	2026-08-23	pass		0.6	0	
P5hex	0.0.10	2026-08-23	pass		0.5	0	
P5lc	0.0.11	2026-08-23	pass		0.5	0	
P5lcfirst	0.0.12	2026-08-23	pass		0.5	0	
P5length	0.0.9	2026-08-23	pass		0.6	0	
P5math	0.0.7	2026-08-23	self-fail		0.5	1	FAILED: 01-basic.rakutest | Undefined routine 'exists'
Red	0.2.5	2026-08-23	dep-fail	JSON::Unmarshal	2.8	1	FAILED: 010-basic.rakutest | Could not find JSON::Name in:
Data::Transformers	0.0.1	2026-08-22	dep-fail	Data::TypeSystem	0.6	1	FAILED: 01-random-data.rakutest | No such method 'elems' for invocant of type 'Data::TypeSystem::Assoc'
Env	0.99	2026-08-22	self-fail		0.5	1	FAILED: 01-all.rakutest | # Failed test 'did we change inside %*ENV also' at /tmp/rakupp-install-43461-Env/Env-0.99/t/01-all.rakutest line 14
Image::Resize	0.2	2026-08-22	dep-fail	NativeHelpers::Blob	0.6	1	FAILED: 01-basic.rakutest | Can't determine actual Offset
MergeOrderedSeqs	0.0.2	2026-08-22	self-fail		0.5	1	FAILED: 01-basic.rakutest | # Failed test at /tmp/rakupp-install-43485-MergeOrderedSeqs/MergeOrderedSeqs-0.0.2/t/01-basic.rakutest line 6
P5chomp	0.0.11	2026-08-22	self-fail		0.5	1	FAILED: 02-chomp.rakutest | # Failed test 'did we actually chomp' at /tmp/rakupp-install-43496-P5chomp/P5chomp-0.0.11/t/02-chomp.rakutest line 14
P5tie	0.0.17	2026-08-22	pass		0.6	0	
P5tie	0.0.16	2026-08-22	pass		0.3	0	
Tie::Array	0.0.10	2026-08-22	pass		0.6	0	
Tie::Hash	0.0.10	2026-08-22	pass		0.5	0	
Tie::StdArray	0.0.9	2026-08-22	pass		0.5	0	
Tie::StdHash	0.0.10	2026-08-22	pass		0.6	0	
auto-dynamic	0.0.4	2026-08-22	pass		0.5	0	
Test::Selector	0.4.2	2026-08-17	dep-fail	Path::Finder	1.3	1	FAILED: basic.t | Undefined routine 'nqp::stat'
