kind	file	was	now	exit	expected_exit	line	expected	got	stderr
fix	./books/perl6-at-a-glance/db2.pl	DIFF-EXIT	MATCH						
fix	./books/perl6-at-a-glance/grammar2.pl	DIFF-OUT	MATCH						
fix	./books/using-raku/license-plate.pl	DIFF-OUT	MATCH						
fix	./books/using-raku/rotatelist2.pl	DIFF-OUT	MATCH						
fix	./books/using-raku/swap4.pl	DIFF-BOTH	MATCH						
fix	./challenges/perl-weekly-challenge/022/ch-1.raku	DIFF-OUT	MATCH						
fix	./challenges/perl-weekly-challenge/047/ch-2.raku	DIFF-OUT	MATCH						
fix	./challenges/perl-weekly-challenge/268/ch-1.raku	DIFF-OUT	MATCH						
fix	./challenges/perl-weekly-challenge/327/ch-2a.raku	DIFF-OUT	MATCH						
fix	./course/exercises/essentials/functions/the-value-of-e.raku	DIFF-OUT	MATCH						
fix	./course/exercises/functions/the-value-of-e.raku	DIFF-OUT	MATCH						
fix	./programs/perl6-grammar-play/mini-lang/lang-2.pl	DIFF-OUT	MATCH						
fix	./snippets/perl6-assorti/13-swap.pl	DIFF-BOTH	MATCH						
fix	./snippets/perl6-play/promise/in.pl	DIFF-OUT	MATCH						
fix	./snippets/perl6-play/promise/then.pl	DIFF-OUT	MATCH						
fix	./snippets/perl6-play/promise/timeout-await.pl	DIFF-OUT	MATCH						
fix	./snippets/perl6tests/grammars/2.pl	DIFF-OUT	MATCH						
fix	./snippets/perl6tests/grammars/20.pl	DIFF-OUT	MATCH						
fix	./snippets/perl6tests/modules/test.pl	DIFF-OUT	MATCH						
fix	./snippets/perl6tests/modules/x.pl	DIFF-OUT	MATCH						
fix	./snippets/perl6tests/oop/7.pl	DIFF-BOTH	MATCH						
fix	./snippets/perl6tests/parallel/allof.pl	DIFF-OUT	MATCH						
regression	./snippets/perl6tests/parallel/channel4.pl	MATCH	DIFF-OUT	0	0	4	42	(Any)	
fix	./snippets/perl6tests/parallel/channel9.pl	DIFF-OUT	MATCH						
fix	./snippets/perl6tests/parallel/promise10.pl	DIFF-OUT	MATCH						
fix	./snippets/perl6tests/subroutines/d.pl	DIFF-BOTH	MATCH						
fix	./snippets/perl6tests/whitespace.pl	DIFF-OUT	MATCH						
fix	./snippets/raku-test/010/take-rw.raku	DIFF-BOTH	MATCH						
