name	version	released	verdict	detail	seconds	exit	first-error
Chart::Gnuplot	0.0.24	2026-09-13	dep-fail	zef	3.2	1	FAILED: distribution-depends-parsing.rakutest | # Failed test at /tmp/rakupp-install-44353-zef/dist/t/distribution-depends-parsing.rakutest line 68
NotoFonts-OT	0.3.2	2026-09-13	dep-fail	LibraryMake	4.5	1	FAILED: 01-basic.t | Unknown VM; don't know how to build
XML::Actions	0.5.2	2026-09-13	dep-fail	HTML::Parser::XML	1.2	1	FAILED: 01_basic.t | Undefined routine 'enum'
App::RakuDocToPDF	0.0.2	2026-09-12	timeout		180	142	
Needle::Compile	0.0.13	2026-09-12	pass		1.3	0	
Sparrow6	0.0.95	2026-09-12	timeout		180	142	
GUI::Wings	0.1.1	2026-09-11	pass		0.6	0	
GUI::Wings	0.1.0	2026-09-11	pass		0.4	0	
Sparky::Minimal	0.0.2	2026-09-11	timeout		180	142	
Prompt::Hidden	0.0.3	2026-09-10	pass		0.7	0	
Sparky::Minimal	0.0.1	2026-09-10	timeout		180	142	
Sparrow6	0.0.94	2026-09-10	timeout		180	142	
Sparrowdo	0.1.57	2026-09-10	timeout		180	142	
H2O::Client	0.0.2	2026-09-09	timeout		180	142	
Prompt::Hidden	0.0.2	2026-09-09	pass		0.7	0	
Prompt::Hidden	0.0.1	2026-09-09	pass		0.5	0	
WebDriver2	0.1.0	2026-09-09	timeout		180	142	
App::RakuDocToPDF	0.0.1	2026-09-08	timeout		180	142	
H2O::Client	0.0.1	2026-09-08	timeout		180	142	
Type-Relations-Digraph	0.2.0	2026-09-08	dep-fail	Rakudo-Type-Introspection	0.6	1	FAILED: 01-basic.rakutest | ===SORRY!=== Parse error at line 130: Error while compiling module Rakudo-Type-Introspection (line 130): expected ) (got 'LEVEL')
GnomeTools	0.8.3	2026-09-06	dep-fail	Cairo	3.2	1	FAILED: matrix.t | # Running cairo version: 1.18.0 (module 0.3.6, Raku 2026.08)
